"sortname";"Mail";"pstatus";"kot";"mtknr";"pnr";"spversion";"bewertung";"pversuch";"semester";"porgnr";"labnr";"pordnr";"pdatum";"bonus"
"Leymann, Yann";"yann.leymann@stud.hs-hannver.de";"AN";"M-IIM";"1330815";"649352";"20192";"500";"3";"20212";"200220";"3369510";"53225";"17012022";"0"
"Davor, Klaus";"klaus.davor@stud.hs-hannover.de";"AN";"M-IIM";"1796521";"649352";"20192";"500";"2";"20212";"200220";"3369510";"53225";"17012022";"0"
"Susac, Petar";"Betar.susac@stud.hs-hannover.de";"AN";"M-IIM";"1917257";"649352";"20192";"300";"1";"20212";"200220";"3369510";"53225";"17012022";"0"
"Lange, Helene";"helenelange@stud.hs-hannover.de";"AN";"M-IIM";"1628037";"649352";"20192";"500";"1";"20212";"200220";"3369510";"53225";"17012022";"0"
"Gause, Gundula";"gundula.gause@stud.hs-hannover.de";"AN";"M-IIM";"1702582";"649352";"20192";"100";"1";"20212";"200220";"3369510";"53225";"17012022";"0"
"Geiß, Robärt";"robaert.geiß@stud.hs-hannover.de";"AN";"M-IIM";"1702571";"649352";"20192";"100";"2";"20212";"200220";"3369510";"53225";"17012022";"0"
"im-Glück, Hans";"hansim-glueck@stud.hs-hannover.de";"AN";"M-IIM";"1382627";"649352";"20192";"100";"2";"20212";"200220";"3369510";"53225";"17012022";"0"
"Özdilli, Gizem";"gzem.oezdilli@stud.hs-hannover.de";"AN";"M-IIM";"1250163";"649352";"20192";"1m";"3";"20212";"200220";"3369510";"53225";"17012022";"0"
"Römer, Aeneas";"aeneas.roemer@stud.hs-hannover.de";"AN";"M-IIM";"1693257";"649352";"20192";"230";"1";"20212";"200220";"3369510";"53225";"17012022";"0"
"Lonsdale, Williem";"william.lonsdale@stud.hs-hannover.de";"AN";"M-IIM";"2457924";"649352";"20192";"400";"2";"20212";"200220";"3369510";"53225";"17012022";"0"
"from-Suocess, Suffering";"_suffaring.from-success@stud.hs-hannover.de";"AN";"M-IIM";"1457893";"649352";"20192";"300";"3";"20212";"200220";"3369510";"53225";"17012022";"0"
"Honda, Keisuke";"keisuke.honda@stud.hs-hannover.de";"AN";"M-IIM";"1938475";"649352";"20192";"1m";"1";"20212";"200220";"3369510";"53225";"17012022";"0"
"Rünzel, Gobin";"gobin.ruenzel@stud.hs-hannver.de";"AN";"M-IIM";"1330815";"649352";"20192";"500";"3";"20212";"200220";"3369510";"53225";"17012022";"0"
"Malfoy, Tom";"tom.malfoy@stud.hs-hannover.de";"AN";"M-IIM";"1432835";"649352";"20192";"500";"2";"20212";"200220";"3369510";"53225";"17012022";"0"
"Smith, Hunter";"hunter.smith@stud.hs-hannover.de";"AN";"M-IIM";"1835463";"649352";"20192";"130";"1";"20212";"200220";"3369510";"53225";"17012022";"0"
"Plüböm, Sheraldo";"sheraldo.plueboem@stud.hs-hannover.de";"AN";"M-IIM";"1025473";"649352";"20192";"400";"1";"20212";"200220";"3369510";"53225";"17012022";"0"
"Asis, Sidan";"sidan.aeais@stud.hs-hannover.de";"AN";"M-IIM";"1934573";"649352";"20192";"370";"1";"20212";"200220";"3369510";"53225";"17012022";"0"
"Tri, Cera";"gera.tri@stud.hs-hannover.de";"AN";"M-IIM";"1639465";"649352";"20192";"370";"2";"20212";"200220";"3369510";"53225";"17012022";"0"
"Löffel, Frauke";"fraukeloeffel@stud.hs-hannover.de";"AN";"M-IIM";"1209645";"649352";"20192";"230";"2";"20212";"200220";"3369510";"53225";"17012022";"0"
"Silie, Peter";"Beter.silie@stud.hs-hannover.de";"AN";"M-IIM";"1649063";"649352";"20192";"200";"3";"20212";"200220";"3369510";"53225";"17012022";"0"
"Müller, Anna";"anna.mueller@stud.hs-hannover.de";"AN";"M-IIM";"1529737";"649352";"20192";"100";"1";"20212";"200220";"3369510";"53225";"17012022";"0"
"Schmidt, Susanne";"susanneschmict@stud.hs-hannover.de";"AN";"M-IIM";"1540758";"649352";"20192";"270";"2";"20212";"200220";"3369510";"53225";"17012022";"0"
"Händler, Heribert";"heribert.haendller@stud.hs-hannover.de";"AN";"M-IIM";"1269036";"649352";"20192";"500";"3";"20212";"200220";"3369510";"53225";"17012022";"0"
"Potter, Hans";"hans.potter@stud.hs-hnover.de";"AN";"M-IIM";"1367394";"649352";"20192";"100";"1";"20212";"200220";"3369510";"53225";"17012022";"0"
"Akkus, Taylan";"taylan.akkus@stud.hs-hannover.de";"AN";"M-IIM";"6455882";"649352";"20192";"370";"2";"20212";"200220";"3369510";"53225";"17.01.2023";"©"
"de-Castellan, Joel";"ioel.de-castellan@stud.hs-hannover.de";"AN";"M-IIM";"3445876";"649352";"20192";"1m";"3";"20212";"200220";"3369510";"53225";"17012024";"©"

